WORD,LIKES,SHARES,COMMENTS
,31691,84596859,5627
create,140,549368,2
make,1848,6855012,259
artist,1585,5144016,178
art,589,581939,95
people,3120,9355958,463
photos,1760,10144060,586
old,684,5839516,69
life,1043,4302272,176
made,2254,1754210,366
dog,2608,4646599,163
world,1014,3718181,302
comics,399,3079171,47
pics,4469,9310148,413
year,509,4802318,59
new,2060,3787784,187
love,1819,1382704,349
like,2860,4647003,387
look,4157,4706518,845
years,867,2959884,84
cat,794,2628184,272
using,307,1085554,28
draw,107,449460,3
created,259,539858,20
photographed,12,280210,0
one,1510,2189490,93
paint,226,565975,38
hilarious,2185,5895304,306
beauty,2611,1615179,634
day,1150,2927994,197
pictures,47,299620,5
time,197,1940325,19
times,3187,5934418,672
inspired,526,238521,95
portraits,42,269130,1
animals,122,1603202,3
cats,987,2604329,322
dogs,190,3478325,23
ever,1473,4498828,525
woman,2295,4475784,658
paintings,22,178173,1
drawings,9,24884,0
paper,10,52858,0
kids,364,1457152,68
characters,79,1210219,2
things,314,3479205,39
photographer,280,3067194,38
amazing,750,1536274,162
nature,33,890719,0
took,829,667354,108
